ts_ms,price,equity
1604880000000,140.42,-0.042126
1604966400000,136.787,-3.71646
1605052800000,139.043,-3.71646
1605139200000,137.253,-3.71646
1605225600000,136.167,-3.71646
1605484800000,136.03,-3.71646
1605571200000,147.203,-3.76062
1605657600000,162.213,11.2494
1605744000000,166.423,15.4594
1605830400000,163.203,12.2394
1606089600000,173.95,22.9861
1606176000000,185.127,34.1627
1606262400000,191.333,40.3694
1606435200000,195.253,44.2894
1606694400000,189.2,38.2361
1606780800000,194.92,43.9561
1606867200000,189.607,38.6427
1606953600000,197.793,46.8294
1607040000000,199.68,48.7161
1607299200000,213.92,62.9561
1607385600000,216.627,65.6627
1607472000000,201.493,50.5294
1607558400000,209.023,58.0594
1607644800000,203.33,52.3661
1607904000000,213.277,62.3127
1607990400000,211.083,60.1194
1608076800000,207.59,56.6261
1608163200000,218.633,67.6694
1608249600000,231.667,80.7027
1608508800000,216.62,65.6561
1608595200000,213.447,62.4827
1608681600000,215.327,64.3627
1608768000000,220.59,69.6261
1609113600000,221.23,70.2661
1609200000000,221.997,71.0327
1609286400000,231.593,80.6294
1609372800000,235.223,84.2594
1609718400000,243.257,92.2927
1609804800000,245.037,94.0727
1609891200000,251.993,101.029
1609977600000,272.013,121.049
1610064000000,293.34,142.376
1610323200000,270.397,119.433
1610409600000,283.147,132.183
1610496000000,284.803,133.839
1610582400000,281.667,130.703
1610668800000,275.387,124.423
1611014400000,281.517,130.553
1611100800000,283.483,132.519
1611187200000,281.663,130.699
1611273600000,282.213,131.249
1611532800000,293.6,142.636
1611619200000,294.363,143.399
1611705600000,288.053,137.089
1611792000000,278.477,127.513
1611878400000,264.51,113.546
1612137600000,279.937,128.973
1612224000000,290.93,139.966
1612310400000,284.897,133.933
1612396800000,283.33,132.366
1612483200000,284.077,133.113
1612742400000,287.807,136.843
1612828800000,283.153,132.189
1612915200000,268.273,117.309
1613001600000,270.553,119.589
1613088000000,272.04,121.076
1613433600000,265.407,114.443
1613520000000,266.05,115.086
1613606400000,262.46,111.417
1613692800000,260.433,111.417
1613952000000,238.167,111.417
1614038400000,232.947,111.417
1614124800000,247.34,111.417
1614211200000,227.407,111.417
1614297600000,225.167,111.417
1614556800000,239.477,111.417
1614643200000,228.813,111.417
1614729600000,217.733,111.417
1614816000000,207.147,111.417
1614902400000,199.317,111.417
1615161600000,187.667,111.417
1615248000000,224.527,111.417
1615334400000,222.687,111.417
1615420800000,233.2,111.417
1615507200000,231.243,111.417
1615766400000,235.98,111.417
1615852800000,225.627,111.417
1615939200000,233.937,111.417
1616025600000,217.72,111.417
1616112000000,218.29,111.417
1616371200000,223.333,111.417
1616457600000,220.72,111.417
1616544000000,210.09,111.417
1616630400000,213.463,111.417
1616716800000,206.237,111.417
1616976000000,203.763,111.417
1617062400000,211.873,111.417
1617148800000,222.643,111.417
1617235200000,220.583,111.417
1617580800000,230.35,111.417
1617667200000,230.54,111.417
1617753600000,223.657,111.417
1617840000000,227.933,111.417
1617926400000,225.673,111.417
1618185600000,233.993,111.347
1618272000000,254.107,131.46
1618358400000,244.077,121.43
1618444800000,246.283,123.637
1618531200000,246.593,123.947
1618790400000,238.21,115.564
1618876800000,239.663,117.017
1618963200000,248.04,125.394
1619049600000,239.897,117.25
1619136000000,243.133,120.487
1619395200000,246.067,123.42
1619481600000,234.913,112.267
1619568000000,231.467,108.82
1619654400000,225.667,103.02
1619740800000,236.48,113.834
1620000000000,228.3,105.654
1620086400000,224.533,101.82
1620172800000,223.647,101.82
1620259200000,221.18,101.82
1620345600000,224.123,101.82
1620604800000,209.68,101.82
1620691200000,205.733,101.82
1620777600000,196.63,101.82
1620864000000,190.563,101.82
1620950400000,196.58,101.82
1621209600000,192.277,101.82
1621296000000,192.623,101.82
1621382400000,187.82,101.82
1621468800000,195.593,101.82
1621555200000,193.627,101.82
1621814400000,202.147,101.82
1621900800000,201.563,101.82
1621987200000,206.377,101.82
1622073600000,210.283,101.82
1622160000000,208.407,101.82
1622505600000,207.967,101.82
1622592000000,201.707,101.82
1622678400000,190.947,101.82
1622764800000,199.683,101.82
1623024000000,201.71,101.82
1623110400000,201.197,101.82
1623196800000,199.593,101.82
1623283200000,203.373,101.82
1623369600000,203.297,101.82
1623628800000,205.897,101.82
1623715200000,199.787,101.82
1623801600000,201.623,101.82
1623888000000,205.533,101.82
1623974400000,207.77,101.82
1624233600000,206.943,101.82
1624320000000,207.903,101.82
1624406400000,218.857,101.754
1624492800000,226.607,109.504
1624579200000,223.957,106.854
1624838400000,229.573,112.471
1624924800000,226.92,109.818
1625011200000,226.567,109.464
1625097600000,225.973,108.871
1625184000000,226.3,109.198
1625529600000,219.86,102.758
1625616000000,214.883,97.7808
1625702400000,217.603,100.501
1625788800000,218.983,101.881
1626048000000,228.567,111.464
1626134400000,222.847,105.744
1626220800000,217.793,100.691
1626307200000,216.867,99.7641
1626393600000,214.74,97.6375
1626652800000,215.407,98.3041
1626739200000,220.167,103.064
1626825600000,218.43,101.328
1626912000000,216.42,99.3175
1626998400000,214.46,97.3575
1627257600000,219.207,102.104
1627344000000,214.927,97.8241
1627430400000,215.66,98.5575
1627516800000,225.783,108.681
1627603200000,229.067,111.964
1627862400000,236.557,119.454
1627948800000,236.58,119.478
1628035200000,236.973,119.871
1628121600000,238.21,121.108
1628208000000,233.033,115.931
1628467200000,237.92,120.818
1628553600000,236.663,119.561
1628640000000,235.94,118.838
1628726400000,240.75,123.648
1628812800000,239.057,121.954
1629072000000,228.723,111.621
1629158400000,221.903,104.801
1629244800000,229.663,112.561
1629331200000,224.49,107.388
1629417600000,226.753,109.583
1629676800000,235.433,109.512
1629763200000,236.163,110.242
1629849600000,237.067,111.145
1629936000000,233.72,107.799
1630022400000,237.307,111.385
1630281600000,243.637,117.715
